,Inflight wifi service,Gate location,Online boarding,Inflight entertainment,On-board service,Leg room service,Checkin service,Cleanliness,Type of Travel Ordinal,Class Ordinal,satisfaction Ordinal
41243,3,1,3,5,3,2,3,5,0,2,0
41244,4,4,4,4,3,1,4,4,1,1,1
41246,1,4,1,2,3,5,4,2,0,2,0
41247,2,2,4,5,5,5,5,3,1,1,1
41249,3,3,5,5,5,5,3,5,1,1,1
41250,4,4,4,4,4,4,5,4,1,1,1
41251,3,4,3,1,4,4,3,1,1,1,0
41252,3,3,5,5,5,5,3,5,1,1,1
41253,3,4,3,1,2,3,3,3,1,2,0
41254,3,1,3,3,1,1,1,3,1,1,0
41255,4,2,4,5,5,3,5,5,1,1,1
41256,1,3,1,3,3,3,4,3,1,1,0
41257,3,3,3,2,3,4,3,2,0,2,0
41259,3,3,3,2,2,2,3,2,0,2,0
41260,3,3,3,2,5,2,5,2,1,2,0
41261,4,4,5,2,2,4,5,3,0,2,0
41262,4,3,4,4,2,1,5,4,1,2,1
41263,3,3,4,3,3,3,4,3,1,1,1
41264,3,3,3,1,1,3,4,1,0,1,0
41265,3,3,5,4,4,4,4,3,1,1,1
41266,3,2,3,4,4,2,5,4,1,1,0
41267,1,1,5,4,4,4,3,5,1,1,1
41268,1,2,1,3,1,4,5,3,0,1,0
41269,3,5,3,5,2,1,1,5,0,2,0
41270,1,3,1,4,2,3,1,4,0,2,0
41271,4,3,4,5,5,5,4,5,1,1,1
41272,2,3,2,4,1,1,1,4,0,2,0
41273,1,2,1,1,1,1,1,1,1,2,0
41274,3,2,1,1,2,5,1,1,0,2,0
41275,4,4,5,5,5,2,5,5,1,1,1
41276,3,3,3,3,2,5,2,3,0,2,0
41277,3,3,5,4,4,5,4,4,1,1,1
41278,4,2,4,1,5,3,5,1,0,2,1
41279,2,2,3,4,4,4,2,3,1,1,1
41280,5,3,5,4,1,2,1,4,0,2,1
41281,2,2,5,5,3,3,2,5,1,1,1
41283,3,4,4,3,3,3,3,5,0,1,0
41284,4,4,4,3,3,5,3,3,0,2,0
41285,3,3,4,5,5,4,4,5,1,1,1
41286,3,5,3,2,4,3,5,2,0,2,0
41287,2,3,2,2,5,5,4,2,1,1,0
41288,4,4,5,5,5,2,1,5,1,1,1
41289,2,3,2,2,5,4,3,2,1,1,0
41290,3,4,3,1,1,5,1,1,0,2,0
41291,1,1,5,4,4,4,4,3,1,1,1
41292,5,1,4,5,5,5,2,4,1,2,1
41294,4,1,4,4,4,4,2,2,1,1,0
41295,4,2,4,1,2,5,4,1,0,0,0
41296,4,4,4,1,4,4,3,1,1,2,0
41297,2,5,3,2,2,2,2,2,1,2,0
41299,1,4,1,4,3,2,5,4,0,2,0
41301,3,3,4,5,3,4,5,5,0,1,0
41302,2,4,2,2,1,1,2,2,0,0,0
41303,4,2,4,4,1,5,2,4,1,0,0
41304,3,1,3,3,5,5,3,3,0,2,0
41305,2,2,1,4,4,4,4,3,1,1,1
41306,2,4,2,1,1,2,4,1,0,2,0
41307,1,1,1,3,4,3,5,3,0,2,0
41308,3,3,5,5,3,5,4,5,1,1,1
41310,1,1,4,4,4,4,3,3,1,1,1
41311,1,1,5,3,3,4,5,5,1,1,1
41312,4,1,4,4,1,4,1,4,1,0,0
41314,4,4,3,3,1,5,3,3,1,1,1
41315,1,5,4,1,1,1,4,4,0,0,0
41316,2,2,5,2,2,2,4,4,0,2,0
41317,3,2,3,4,3,4,1,4,0,2,0
41318,3,3,3,1,4,5,3,1,1,1,0
41319,5,5,5,5,5,5,3,5,1,1,1
41320,3,3,3,3,3,2,1,3,0,2,0
41321,1,1,5,3,3,4,4,5,1,1,1
41322,5,5,4,5,1,2,3,5,1,1,1
41323,3,4,3,5,1,4,1,5,0,2,0
41324,4,4,5,4,2,2,3,4,1,1,1
41325,1,1,1,1,2,2,3,1,1,2,0
41326,2,3,2,1,4,4,2,1,0,2,0
41328,1,3,1,2,4,4,3,2,0,2,0
41329,3,3,4,5,5,5,5,5,1,1,1
41330,2,4,2,4,2,4,1,4,0,0,0
41331,3,3,3,3,4,4,1,3,1,2,0
41332,4,2,4,4,3,5,4,4,0,2,0
41333,5,5,5,4,4,4,3,4,1,1,1
41334,4,4,3,2,2,2,3,4,1,1,1
41335,4,3,4,1,3,3,3,1,1,1,0
41336,2,4,2,2,1,5,1,2,1,2,0
41337,4,4,4,4,3,4,4,4,1,2,1
41338,4,4,5,5,5,5,4,3,1,1,1
41339,4,4,5,4,4,4,3,5,1,1,1
41340,1,1,1,2,3,4,2,2,1,2,0
41342,3,1,3,1,2,2,3,3,1,1,0
41343,5,5,5,5,5,5,4,5,1,1,1
41344,5,3,5,1,4,5,5,1,0,0,1
41345,2,3,2,1,1,5,3,1,1,2,0
41347,5,5,5,5,5,2,3,5,1,1,1
41348,4,2,4,2,5,5,2,2,0,2,1
41349,3,3,4,5,5,5,3,5,1,1,1
41350,5,5,5,5,5,5,4,3,1,1,1
41351,4,4,5,4,4,4,4,4,1,1,1
41352,4,4,4,3,4,1,5,3,1,2,1
41353,3,3,5,5,5,5,3,4,1,1,1
41354,4,3,3,4,4,4,1,2,1,1,0
41355,3,5,4,4,4,3,5,3,0,1,0
41356,4,1,3,4,4,3,5,4,0,2,0
41357,3,2,3,1,5,4,3,1,0,2,0
41358,3,3,3,4,1,2,1,4,1,2,0
41359,1,1,1,1,3,4,3,1,1,2,0
41360,4,1,4,4,5,2,5,4,1,0,1
41361,2,4,2,2,3,1,3,2,1,2,0
41362,2,3,5,2,2,2,1,3,0,2,0
41363,1,3,1,1,3,5,3,1,1,2,0
41364,3,5,1,4,2,2,5,4,0,2,0
41365,5,5,5,3,3,3,3,5,1,1,1
41366,3,4,3,5,1,2,2,5,0,2,0
41367,2,1,2,1,4,2,4,1,0,2,0
41368,5,5,5,1,5,5,5,5,1,2,1
41369,5,1,3,5,5,5,4,1,1,2,1
41370,4,1,2,4,4,4,3,3,1,1,0
41371,4,4,4,5,5,4,4,4,0,2,0
41373,3,1,1,4,4,3,1,2,0,2,0
41374,1,1,5,5,3,2,2,5,1,1,1
41375,1,4,1,1,3,4,1,1,0,2,0
41376,4,4,4,4,4,1,3,4,1,0,1
41377,3,4,3,4,5,3,3,4,1,1,0
41378,4,3,4,4,3,4,1,4,1,2,0
41379,1,1,5,5,5,5,4,3,1,1,1
41380,4,4,4,3,3,3,4,5,1,1,1
41381,1,1,4,4,4,4,4,5,1,1,1
41382,3,3,3,4,4,2,1,4,1,2,0
41383,3,3,5,4,4,4,3,4,1,1,1
41384,1,5,1,2,2,3,1,1,1,1,0
41385,2,4,2,2,4,3,2,2,1,1,0
41386,3,1,3,3,2,4,2,3,1,2,0
41387,3,3,3,1,2,2,1,1,0,2,0
41388,5,5,4,3,3,3,3,5,1,1,1
41389,2,2,2,3,2,5,4,3,0,2,0
41390,1,3,1,2,4,2,5,2,0,2,0
41391,3,3,4,4,4,4,4,4,1,1,1
41392,5,5,4,4,5,4,4,4,1,1,1
41393,1,3,1,5,5,4,1,5,1,2,0
41394,3,5,3,3,2,2,3,3,1,0,0
41395,5,5,5,5,5,5,3,3,1,1,1
41396,4,5,4,4,4,5,3,4,1,1,0
41397,2,3,3,1,2,4,1,1,0,2,0
41398,4,4,4,4,5,4,4,4,0,2,1
41399,2,1,2,4,4,5,2,4,0,2,0
41400,3,3,4,2,2,3,2,3,0,1,0
41401,3,3,5,5,2,3,1,5,1,1,1
41403,3,2,4,5,5,3,4,5,0,2,0
41404,3,3,5,3,3,3,4,3,1,1,1
41405,1,1,4,4,4,4,4,3,1,1,1
41406,4,3,4,4,3,2,2,4,1,2,0
41407,2,2,2,4,4,4,5,4,1,2,0
41408,3,3,4,4,4,4,4,4,1,1,1
41409,4,3,4,4,2,3,1,4,1,0,1
41410,2,2,3,2,1,5,4,2,1,0,0
41412,1,4,4,1,1,2,5,3,0,2,0
41414,2,4,2,2,2,1,2,2,1,1,0
41415,2,5,4,4,2,4,2,2,1,2,0
41416,1,2,1,5,3,2,3,5,0,2,0
41417,2,1,2,2,4,3,3,2,1,1,0
41418,3,3,3,2,1,2,4,2,0,2,0
41419,5,3,5,1,4,4,4,1,1,1,1
41420,2,3,2,2,2,2,4,2,1,2,0
41421,2,5,2,2,2,2,1,4,1,1,0
41422,3,3,3,3,5,5,5,3,0,2,0
41423,2,2,5,2,2,3,4,4,0,2,0
41424,2,2,2,1,2,4,1,1,1,2,0
41425,2,2,2,4,1,4,1,4,0,2,0
41426,2,2,3,2,2,2,4,2,1,1,0
41427,2,2,5,4,4,4,3,4,1,1,1
41428,3,1,1,5,4,5,1,1,0,2,0
41429,2,3,2,2,2,4,2,2,1,1,0
41430,2,2,3,4,4,5,3,5,1,1,1
41431,3,4,3,2,4,5,4,2,0,2,0
41432,3,3,5,5,5,5,3,5,1,1,1
41433,3,3,4,5,5,5,4,5,1,1,1
41434,2,2,4,4,4,4,4,5,1,1,1
41435,2,4,2,5,1,3,2,5,1,2,0
41437,1,1,5,4,4,4,4,5,1,1,1
41438,2,4,2,3,1,3,4,3,0,2,0
41439,2,2,4,3,2,4,4,4,1,1,1
41440,5,3,4,4,4,5,1,2,0,2,1
41441,2,3,2,2,4,2,3,2,1,1,0
41442,4,2,3,4,4,2,3,4,1,2,0
41443,3,3,3,3,1,5,2,3,1,1,0
41444,1,1,1,4,4,4,2,4,1,1,1
41445,3,3,5,3,3,3,4,4,0,2,0
41447,2,2,4,1,1,2,5,3,0,2,0
41448,2,3,2,4,3,5,1,4,0,2,0
41449,1,3,1,2,1,3,3,2,1,2,0
41450,2,4,3,3,2,5,3,3,0,2,0
41451,4,4,3,4,4,4,4,4,1,2,1
41452,2,2,3,3,3,3,2,4,1,1,0
41453,2,3,4,5,5,2,4,1,0,2,0
41454,3,3,1,3,3,3,3,4,1,1,1
41455,5,3,5,4,3,2,3,4,0,2,1
41456,3,1,2,4,4,4,2,3,1,1,0
41458,2,5,2,5,4,5,4,5,1,1,0
41459,1,1,5,5,5,4,5,5,1,1,1
41460,3,4,3,4,2,4,1,4,1,2,0
41461,5,5,4,4,4,4,4,5,1,1,1
41462,2,2,3,2,2,2,2,4,1,2,0
41463,2,5,3,2,2,3,2,1,1,1,0
41464,5,3,5,5,4,5,3,5,1,0,1
41465,2,2,5,5,1,5,5,5,1,1,1
41466,3,3,4,5,3,4,3,5,1,1,1
41467,4,4,4,4,5,4,3,4,1,1,1
41468,5,5,5,5,5,5,4,4,1,1,1
41469,2,5,3,2,2,1,3,1,1,1,0
41470,5,2,3,5,5,5,5,1,1,2,1
41471,4,4,4,5,1,2,5,5,0,2,1
41472,3,2,3,3,3,3,3,3,1,1,0
41473,3,4,3,4,4,5,4,4,1,1,1
41474,3,3,3,4,5,3,4,4,1,1,0
41475,1,4,1,1,2,5,4,1,1,1,0
41476,1,1,5,3,3,3,3,5,1,1,1
41477,5,5,5,4,4,3,4,4,1,1,1
41478,2,3,2,3,3,5,4,3,1,2,0
41479,1,1,5,5,5,5,3,3,1,1,1
41480,4,5,4,4,3,3,1,4,1,2,1
41481,4,5,4,2,1,1,5,2,0,2,1
41482,3,3,4,4,4,4,1,1,1,1,1
41483,2,1,2,2,3,4,4,2,0,2,0
41484,3,3,2,3,3,4,2,3,0,2,0
41485,2,5,2,5,4,5,4,5,0,2,0
41486,5,5,5,5,5,5,4,5,1,1,1
41487,2,1,2,2,5,4,4,2,0,2,0
41488,2,4,1,2,2,3,3,4,0,2,0
41489,3,4,1,1,2,3,1,1,1,2,0
41491,3,3,5,5,3,5,1,5,1,1,1
41492,2,3,2,2,2,3,1,2,1,2,0
41493,4,4,4,4,4,4,5,5,1,1,1
41494,2,4,3,2,2,3,4,1,1,1,0
41495,1,1,4,5,5,5,4,5,1,1,1
41496,2,2,4,3,3,4,3,3,1,1,1
41497,1,1,4,3,3,3,4,3,1,1,1
41498,5,5,5,4,4,4,3,3,1,1,1
41499,1,1,4,5,5,5,5,3,1,1,1
41500,2,4,2,3,5,2,5,3,1,1,0
41501,1,3,1,5,4,5,5,5,1,1,0
41503,3,5,4,1,1,4,3,5,0,2,0
41504,1,1,4,4,2,4,4,4,1,1,1
41505,3,3,5,3,3,3,4,5,1,1,1
41506,5,2,5,5,5,2,5,5,1,1,1
41507,1,5,1,1,5,3,5,1,0,2,0
41509,4,1,4,4,4,3,4,4,1,0,1
41510,3,3,5,5,5,5,3,3,1,1,1
41511,2,3,2,4,4,2,5,4,0,2,0
41512,3,2,3,4,3,1,4,4,0,0,0
41513,5,1,5,5,2,1,5,5,1,0,1
41514,4,3,4,3,1,4,1,3,1,2,0
41515,3,3,5,4,4,4,4,3,1,1,1
41516,4,1,3,3,3,3,3,3,1,1,0
41517,2,2,4,5,5,5,3,5,1,1,1
41518,4,1,4,3,3,4,5,5,0,1,1
41519,3,4,3,3,1,1,1,3,1,2,0
41520,3,3,3,1,3,2,2,1,0,2,0
41521,2,3,2,2,3,5,2,2,1,2,0
41522,2,3,2,2,4,4,5,2,0,2,0
41523,4,1,4,3,3,5,3,3,0,2,0
41524,1,4,2,2,2,3,2,2,0,2,0
41525,2,2,2,4,5,5,3,4,0,2,0
41526,3,3,3,3,1,4,2,3,1,2,0
41527,1,3,1,3,5,2,3,3,0,2,0
41528,1,2,1,4,3,5,3,4,1,1,0
41529,4,3,4,4,3,2,5,4,1,2,1
41530,1,2,1,4,4,5,4,4,0,2,0
41531,2,2,4,3,3,3,4,2,1,1,0
41532,5,5,5,5,3,2,5,5,1,1,1
41533,3,3,4,5,5,4,3,5,1,1,1
41534,4,4,5,4,4,4,5,5,1,1,1
41535,1,1,1,1,3,4,4,1,1,1,0
41536,1,3,1,5,3,2,5,5,0,2,0
41537,4,5,4,4,2,3,5,4,1,2,1
41538,1,1,1,1,3,2,4,1,1,2,0
41540,3,5,4,4,4,3,5,5,0,2,0
41541,3,1,3,3,3,2,3,3,0,0,0
41542,4,2,4,4,1,3,3,4,1,2,1
41543,4,3,3,1,1,4,2,3,0,2,0
41544,3,1,4,4,4,3,5,4,0,1,0
41545,1,2,1,5,3,2,4,5,0,0,0
41546,4,4,5,5,4,3,3,5,1,1,1
41548,2,3,4,2,2,2,3,4,0,2,0
41549,1,1,5,5,5,4,3,3,1,1,1
41550,5,3,5,2,4,3,2,2,1,2,1
41551,4,4,4,3,3,3,5,4,1,1,1
41552,3,3,4,3,3,3,1,3,1,1,0
41553,2,2,2,5,2,5,2,5,1,2,0
41554,2,4,1,2,4,2,2,2,0,2,0
41557,1,1,5,5,5,4,3,5,1,1,1
41558,3,3,3,2,4,2,5,2,0,2,0
41559,4,4,5,4,4,5,3,4,1,1,1
41560,2,2,3,4,3,5,3,4,0,2,0
41561,2,2,2,5,3,4,4,5,0,2,0
41562,2,4,2,5,3,3,3,5,1,1,0
41563,4,4,5,5,4,4,5,5,1,1,1
41564,2,4,4,2,2,2,1,4,1,2,0
41565,2,2,5,4,4,4,4,5,1,1,1
41566,1,2,1,5,3,3,5,5,0,2,0
41567,3,4,3,2,3,2,3,2,0,2,0
41568,2,4,2,2,5,3,3,2,0,1,0
41569,3,4,2,2,3,2,4,2,1,1,0
41570,4,4,4,5,5,5,5,5,1,1,1
41571,2,3,2,2,2,3,4,2,0,2,0
41572,2,2,5,4,4,4,3,5,1,1,1
41573,5,4,3,4,4,4,4,4,0,2,1
41574,3,3,3,2,4,3,4,2,1,2,0
41575,3,1,4,3,4,2,3,3,1,1,0
41576,3,3,5,4,4,4,4,4,1,1,1
41577,4,4,4,4,4,5,3,5,1,1,1
41578,2,4,2,1,1,2,2,1,1,2,0
41579,4,1,2,4,4,4,1,3,1,1,0
41580,3,3,5,3,3,5,5,5,1,1,1
41581,2,5,2,4,3,1,2,4,0,2,0
41582,5,3,5,4,3,3,5,4,0,0,1
41583,4,4,5,4,3,4,2,4,1,0,1
41584,3,2,4,3,3,3,3,4,1,1,0
41585,4,4,5,5,5,5,4,5,1,1,1
41586,2,2,4,4,4,5,5,5,1,1,1
41588,4,2,4,4,3,3,1,4,1,2,1
41589,2,2,2,1,3,1,3,1,0,0,0
41591,2,3,2,3,1,4,2,3,1,2,0
41592,2,2,5,5,5,5,5,5,1,1,1
41593,2,2,2,2,2,3,3,2,1,0,0
41594,4,2,4,5,5,4,5,4,0,2,0
41596,2,2,4,4,3,2,3,4,1,1,1
41597,2,2,4,4,4,4,3,3,1,1,1
41599,2,2,3,5,5,5,4,3,1,1,1
41600,2,3,2,1,1,4,1,1,1,2,0
41601,3,2,4,5,1,5,2,5,0,2,0
41602,3,1,3,3,3,5,5,3,0,0,0
41603,1,1,4,5,5,5,5,4,1,1,1
41604,4,4,5,4,4,4,4,4,1,1,1
41605,2,4,2,3,3,1,1,3,1,2,0
41606,1,1,1,5,5,5,2,4,1,1,1
41608,5,3,5,3,5,4,5,5,1,0,1
41609,2,3,2,3,3,3,5,3,0,2,0
41611,3,1,3,2,2,2,2,1,1,1,0
41612,3,1,3,4,2,3,3,3,0,2,0
41613,1,5,1,2,3,3,5,2,0,2,0
41614,2,2,5,1,1,2,4,3,0,1,0
41615,2,5,4,1,1,2,2,3,1,1,0
41616,5,5,5,5,5,5,3,5,1,1,1
41617,2,5,3,2,2,2,4,4,1,1,0
41618,5,2,5,5,4,5,3,5,1,1,1
41619,3,4,3,5,3,2,4,5,0,0,0
41620,1,1,4,4,4,4,5,5,1,1,1
41621,4,4,5,4,4,4,4,5,1,1,1
41622,2,2,4,5,5,5,5,3,1,1,1
41623,2,3,2,2,4,2,2,2,1,1,0
41624,5,5,5,5,5,5,3,3,1,1,1
41625,1,3,1,2,4,3,4,2,0,2,0
41626,3,3,4,5,5,5,5,4,1,1,1
41627,1,2,4,1,1,2,5,4,0,1,0
41628,2,3,2,3,3,2,3,3,1,2,0
41629,1,1,3,5,5,5,3,3,1,1,1
41630,5,5,3,4,4,4,4,3,1,1,1
41631,1,4,1,5,1,1,3,5,1,2,0
41633,2,4,4,3,2,3,4,3,1,1,0
41634,1,3,2,1,1,2,1,2,1,1,0
41635,4,2,4,3,4,1,4,3,0,2,1
41636,4,3,4,1,4,1,2,1,0,0,1
41637,4,4,4,4,4,4,1,2,1,1,1
41638,5,5,5,5,3,4,4,5,1,1,1
41639,4,4,4,4,4,4,4,4,1,1,1
41640,5,3,5,5,5,5,1,5,1,2,1
41641,3,1,4,3,5,4,4,4,0,2,0
41642,1,1,5,4,4,4,4,3,1,1,1
41643,2,3,3,2,2,2,3,3,0,2,0
41645,4,3,4,2,5,4,5,2,0,2,0
41646,2,3,2,5,4,2,2,5,0,2,0
41647,3,5,3,3,3,3,5,3,1,0,1
41648,4,4,4,4,4,5,5,5,1,1,1
41649,5,5,3,3,5,2,4,3,1,1,1
41650,5,3,5,5,4,5,3,5,1,0,1
41651,4,2,4,1,1,2,4,4,1,1,0
41652,5,5,5,4,4,4,3,3,1,1,1
41653,3,3,3,5,1,3,3,5,0,2,0
41654,2,2,1,5,5,5,1,5,1,1,1
41655,3,4,3,2,5,3,3,2,1,2,0
41656,4,4,5,5,5,5,1,5,1,1,1
41657,1,4,1,5,4,4,5,5,0,2,0
41658,4,4,5,3,3,4,4,4,1,1,1
41659,4,1,4,1,5,4,4,1,0,0,0
41660,2,3,5,4,1,5,4,4,0,2,0
41661,3,3,3,4,4,4,2,5,1,1,1
41662,1,1,4,4,4,4,5,4,1,1,1
41663,1,2,1,2,5,5,3,2,0,0,0
41664,5,2,5,5,3,3,5,5,1,2,1
41665,3,3,5,5,5,5,4,5,1,1,1
41666,1,5,1,4,5,4,4,4,1,1,0
41667,4,5,4,4,4,4,4,1,1,1,0
41668,2,4,1,2,2,2,4,3,1,2,0
41669,3,3,5,5,5,5,4,4,1,1,1
41670,4,5,4,4,2,4,4,4,1,2,1
41671,1,5,1,1,1,3,1,1,1,0,0
41672,1,1,5,5,5,3,5,5,1,1,1
41673,1,1,4,4,4,3,3,4,1,1,1
41674,5,5,4,4,5,4,5,4,1,1,1
41676,2,3,2,2,1,3,1,2,1,2,0
41677,2,1,5,2,2,2,4,5,0,0,0
41678,2,3,2,2,2,2,2,2,1,1,0
41679,2,3,2,3,1,2,1,3,1,2,0
41680,3,3,3,3,3,3,3,3,0,2,0
41681,2,2,3,2,2,2,2,1,1,1,0
41682,3,3,3,2,4,3,1,2,0,2,0
41683,2,5,4,2,2,2,4,3,1,1,0
41684,3,2,3,4,3,2,5,4,1,0,0
41685,2,1,2,2,2,1,4,2,1,2,0
41686,3,3,3,3,4,3,1,3,1,2,0
41688,2,3,4,4,4,4,3,1,1,1,0
41689,5,5,4,4,5,3,3,4,1,1,1
41690,5,5,5,5,5,4,1,5,1,1,1
41691,5,5,5,4,4,4,4,5,1,1,1
41692,1,4,1,3,3,2,4,3,0,2,0
41693,3,5,3,3,3,4,1,3,1,1,0
41694,1,3,3,5,5,1,3,3,0,1,0
41695,5,1,5,4,1,2,2,4,1,0,1
41696,4,1,4,4,1,5,1,4,1,0,1
41697,1,4,1,2,3,5,4,2,0,2,0
41698,4,3,4,2,2,4,3,3,0,2,0
41699,2,3,2,3,4,2,3,3,0,2,0
41700,3,1,3,3,1,2,4,3,1,2,0
41702,5,5,4,5,5,5,5,4,1,1,1
41703,5,5,2,4,4,4,3,1,1,1,1
41704,5,5,5,5,1,1,3,5,1,2,1
41705,3,3,3,5,1,2,1,5,0,2,0
41707,5,3,5,5,4,4,3,5,0,2,1
41708,2,1,5,3,3,2,5,3,0,2,0
41709,4,4,4,5,5,5,3,3,1,1,1
41710,3,3,3,3,3,3,1,1,1,2,0
41711,1,1,3,4,4,4,4,4,1,1,1
41712,1,2,4,2,2,1,4,4,0,1,0
41713,3,5,5,2,2,3,3,5,0,1,0
41714,2,4,2,4,3,4,1,4,0,2,0
41715,4,4,4,4,4,3,3,4,1,2,1
41716,1,4,2,1,4,5,3,1,1,1,0
41718,4,3,4,5,3,2,1,5,0,2,0
41720,2,4,2,5,3,3,2,5,0,2,0
41721,3,3,3,3,3,3,4,2,1,2,0
41722,2,2,4,5,5,5,4,4,1,1,1
41723,2,5,2,4,3,4,2,2,0,0,0
41724,5,3,5,1,3,2,3,1,0,1,1
41725,5,5,3,5,5,5,1,2,1,1,1
41726,4,3,4,3,3,5,4,3,1,1,0
41727,1,4,3,1,1,1,4,1,1,2,0
41728,5,5,5,2,2,3,3,4,1,1,1
41729,2,2,4,4,3,2,3,4,1,1,1
41730,2,2,4,4,4,4,5,4,1,1,1
41731,4,5,4,5,4,4,5,5,1,1,0
41732,4,3,4,5,4,3,5,5,1,1,0
41733,3,3,5,4,4,4,4,5,1,1,1
41734,1,3,1,5,4,4,2,5,0,2,0
41735,1,3,3,2,2,1,1,4,0,2,0
41736,4,4,4,3,4,5,4,3,0,2,0
41737,2,2,4,4,4,2,3,4,1,1,1
41738,5,5,5,4,4,4,5,4,1,1,1
41739,2,2,4,4,4,4,4,3,1,1,1
41740,1,1,4,4,4,5,3,5,1,1,1
41741,4,4,5,5,4,5,4,5,1,1,1
41742,1,1,4,4,4,4,3,5,1,1,1
41743,1,4,1,1,4,2,3,1,0,2,0
41744,3,4,3,4,4,1,3,4,0,2,0
41745,4,1,4,1,2,3,4,4,1,2,1
41746,1,5,1,1,1,1,1,3,1,1,0
41747,3,1,3,1,3,3,3,3,1,2,0
41748,3,3,5,5,5,5,3,5,1,1,1
41749,3,3,2,2,4,4,1,2,0,2,0
41750,3,5,3,5,5,4,3,5,1,2,0
41751,4,4,4,4,4,4,3,3,1,1,1
41753,4,4,5,5,5,5,3,5,1,1,1
41754,5,5,2,2,4,5,3,2,1,1,1
41755,2,4,3,2,2,1,2,2,1,1,0
41756,3,4,3,1,3,1,2,1,1,2,0
41757,1,4,3,1,1,1,1,2,1,1,0
41758,4,1,4,4,3,5,3,4,1,2,0
41759,2,3,4,5,5,2,3,4,0,2,0
41760,2,3,3,2,2,2,3,3,1,1,0
41761,4,4,2,5,5,5,3,3,1,1,1
41762,2,4,3,2,2,2,1,4,1,1,0
41763,4,3,4,1,4,1,1,1,0,1,1
41764,1,1,4,5,5,5,5,5,1,1,1
41765,3,3,4,4,4,4,5,5,1,1,1
41766,2,1,2,3,4,4,3,3,0,2,0
41767,1,1,4,2,2,2,5,5,1,1,1
41768,2,2,3,2,2,3,2,3,1,1,0
41769,2,4,4,2,2,2,3,1,0,2,0
41770,3,3,4,4,3,4,5,4,1,1,1
41771,3,3,5,5,1,4,4,5,1,1,1
41772,1,1,5,5,3,4,5,5,1,1,1
41773,1,2,1,4,3,2,2,4,0,2,0
41774,4,4,5,3,3,3,4,5,1,1,1
41775,1,1,5,4,4,4,5,3,1,1,1
41776,2,3,2,4,1,1,2,4,0,1,0
41778,4,1,4,2,2,4,4,5,0,2,0
41779,1,4,4,3,3,1,4,5,0,2,0
41780,4,2,4,4,1,5,1,4,1,2,1
41781,3,3,3,3,2,3,4,3,1,2,0
41782,3,2,3,4,3,3,5,4,0,0,0
41783,2,2,2,1,3,4,2,1,1,2,0
41784,2,4,2,2,3,4,4,2,1,2,0
41785,3,2,3,2,4,2,5,2,0,2,0
41786,3,3,5,5,3,4,4,5,1,1,1
41787,5,5,5,4,4,4,4,4,1,1,1
41788,2,2,4,4,4,4,4,5,1,1,1
41789,1,4,1,3,2,5,1,3,0,2,0
41790,4,4,4,4,4,4,3,5,1,1,1
41791,5,3,5,3,4,4,1,3,0,2,1
41792,3,3,4,5,5,5,5,5,1,1,1
41793,4,4,4,5,5,5,5,5,1,1,1
41794,1,1,1,5,5,5,4,3,1,1,1
41795,3,4,3,1,3,5,2,1,0,2,0
41796,3,1,3,4,3,4,3,3,1,0,0
41797,5,5,5,4,4,4,4,3,1,1,1
41798,4,1,4,4,1,4,1,4,1,2,1
41799,3,3,4,5,5,5,5,5,1,1,1
41800,3,3,4,5,5,5,5,3,1,1,1
41801,4,3,4,4,4,4,3,4,0,2,0
41802,5,5,4,5,5,5,5,4,1,1,1
41803,3,1,2,2,4,4,5,2,0,2,0
41805,4,4,5,4,4,4,3,3,1,1,1
41806,4,1,3,3,4,3,4,3,1,2,1
41807,3,3,4,4,4,5,4,3,1,1,1
41808,2,5,2,4,2,5,2,4,0,2,0
41809,2,2,5,5,5,5,5,5,1,1,1
41810,2,2,5,5,5,5,4,5,1,1,1
41811,4,4,5,5,5,5,5,5,1,1,1
41812,4,1,4,3,3,2,4,3,1,2,1
41813,4,2,4,4,4,4,3,4,1,2,0
41814,1,1,4,4,4,5,5,3,1,1,1
41815,2,3,3,2,3,3,4,2,1,1,0
41816,4,4,5,1,1,4,5,5,0,1,0
41817,2,4,2,4,3,5,3,4,1,2,0
41818,3,4,4,3,3,3,4,4,1,1,0
41819,3,4,3,3,3,3,2,3,1,1,0
41820,3,3,3,5,3,4,1,5,0,2,0
41821,1,3,4,1,1,1,4,1,1,1,0
41822,3,3,5,4,4,4,5,3,1,1,1
41823,4,5,4,1,5,5,4,1,1,1,0
41824,2,2,4,3,1,1,5,3,1,1,1
41825,3,3,3,5,5,2,5,5,0,2,0
41826,5,5,5,3,5,2,2,3,1,1,1
41827,3,4,4,3,3,5,4,3,1,2,0
41828,3,3,4,5,5,4,3,3,1,1,1
41829,3,3,4,4,4,3,4,4,0,2,0
41830,4,4,4,4,4,4,3,3,1,1,1
41831,1,4,1,1,3,4,3,1,1,2,0
41832,2,2,4,5,5,5,4,4,1,1,1
41833,2,2,2,4,3,3,5,4,1,2,0
41834,3,3,5,3,3,3,4,4,1,1,1
41835,1,1,4,4,4,4,4,3,1,1,1
41836,4,4,4,4,4,4,4,4,1,1,1
41837,2,2,2,4,3,2,5,4,1,2,0
41838,4,4,3,4,4,4,3,5,1,1,1
41840,4,4,4,4,2,2,5,4,1,2,1
41841,4,5,4,2,2,3,1,2,0,2,0
41842,3,4,3,4,4,2,3,4,0,2,0
